attendance,away,away_score,away_team,date,gid,home,home_score,home_team,national_tv,playoff,season,beta,delta,home_IC,home_INC,away_IC,away_INC,n_plays,whos_favored,spread,id_spread,home_fav,home_covered,score_diff,period,nwg,ar,nwg_direction,spread_signed,cover_check,id_spread_match,score_home_match,score_away_match
19812,BKN,100,Nets,2015-04-01,21401116,NYK,98,Knicks,no,0,2015,0,0,0,0,0,0,3,away,9.5,0.0,False,1.0,-2.0,Pre-COVID,0,,NWG = 0,9.5,1.0,True,True,True
15215,CHI,91,Bulls,2015-04-01,21401118,MIL,95,Bucks,no,0,2015,1,1,0,1,0,1,10,away,5.0,0.0,False,1.0,4.0,Pre-COVID,0,0.5,NWG = 0,5.0,1.0,True,True,True
18203,DAL,135,Mavericks,2015-04-01,21401120,OKC,131,Thunder,no,0,2015,1,1,1,1,0,0,14,home,3.0,0.0,True,0.0,-4.0,Pre-COVID,0,0.5,NWG = 0,-3.0,0.0,True,True,True
18312,SAC,111,Kings,2015-04-01,21401117,HOU,115,Rockets,no,0,2015,1,0,0,1,0,1,11,home,10.5,0.0,True,0.0,4.0,Pre-COVID,1,1.0,NWG > 0,-10.5,0.0,True,True,True
20062,HOU,108,Rockets,2015-04-02,21401125,DAL,101,Mavericks,no,0,2015,0,0,0,0,0,0,12,home,2.5,0.0,True,0.0,-7.0,Pre-COVID,0,,NWG = 0,-2.5,0.0,True,True,True
19596,PHX,106,Suns,2015-04-02,21401126,GSW,107,Warriors,no,0,2015,2,0,0,2,0,0,14,home,12.5,0.0,True,0.0,1.0,Pre-COVID,2,1.0,NWG > 0,-12.5,0.0,True,True,True
22058,DET,82,Pistons,2015-04-03,21401131,CHI,88,Bulls,ESPN,0,2015,0,0,0,0,0,0,12,home,9.5,0.0,True,0.0,6.0,Pre-COVID,0,,NWG = 0,-9.5,0.0,True,True,True
17021,NOP,101,Pelicans,2015-04-03,21401135,SAC,95,Kings,no,0,2015,0,2,0,0,0,2,20,away,6.5,0.0,False,1.0,-6.0,Pre-COVID,-2,0.0,NWG < 0,6.5,1.0,True,True,True
18119,OKC,92,Thunder,2015-04-03,21401132,MEM,100,Grizzlies,no,0,2015,0,0,0,0,0,2,13,home,5.5,1.0,True,1.0,8.0,Pre-COVID,0,,NWG = 0,-5.5,1.0,True,True,True
17732,TOR,109,Raptors,2015-04-03,21401130,BKN,114,Nets,no,0,2015,0,0,0,0,0,0,10,home,2.0,1.0,True,1.0,5.0,Pre-COVID,0,,NWG = 0,-2.0,1.0,True,True,True
